1	3	4
1	4	1
1	5	2
1	7	1
1	10	1
1	11	4
1	13	1
1	15	1
1	16	2
1	17	1
1	19	1
1	20	2
1	21	3
1	23	2
1	24	1
1	25	2
1	26	1
1	29	1
1	39	1
1	40	2
1	43	1
1	44	1
1	47	1
1	49	2
1	50	2
1	51	1
1	52	1
1	53	1
1	55	2
1	56	1
1	57	2
1	58	1
1	59	1
1	60	1
1	61	2
1	62	1
1	63	1
1	67	2
1	68	1
1	69	4
1	70	1
1	71	3
1	72	3
1	73	1
1	74	1
1	78	1
1	82	1
1	83	2
1	85	1
1	86	2
1	93	1
1	97	1
2	4	4
2	5	3
2	6	1
2	9	2
2	10	2
2	11	3
2	13	6
2	17	1
2	22	6
2	23	1
2	24	1
2	25	2
2	33	2
2	36	4
2	39	1
2	41	2
2	43	1
2	46	1
2	47	1
2	49	2
2	52	3
2	53	2
2	54	1
2	56	1
2	57	1
2	59	2
2	60	3
2	63	1
2	64	2
2	67	3
2	68	2
2	71	2
2	72	5
2	75	3
2	78	4
2	79	4
2	81	1
2	82	2
2	84	1
2	86	2
2	87	1
2	90	5
2	92	1
2	93	1
2	95	7
2	97	1
3	4	1
3	5	5
3	6	1
3	7	1
3	8	2
3	9	1
3	10	2
3	11	3
3	12	1
3	13	3
3	14	2
3	15	2
3	16	8
3	17	5
3	18	4
3	19	4
3	20	1
3	21	7
3	22	5
3	23	4
3	25	4
3	26	8
3	27	3
3	28	6
3	30	2
3	32	4
3	35	3
3	36	4
3	37	1
3	38	4
3	39	6
3	40	4
3	41	1
3	42	2
3	43	2
3	44	2
3	45	4
3	46	2
3	47	4
3	48	1
3	49	3
3	50	1
3	51	1
3	52	4
3	54	1
3	55	3
3	56	5
3	57	1
3	58	5
3	60	2
3	61	6
3	62	3
3	63	5
3	64	3
3	65	1
3	66	4
3	67	1
3	69	6
3	71	10
3	72	3
3	73	3
3	74	1
3	75	4
3	77	3
3	78	2
3	79	1
3	80	4
3	81	1
3	82	3
3	83	4
3	84	2
3	85	1
3	86	3
3	87	2
3	88	5
3	89	9
3	91	1
3	93	5
3	94	4
3	96	4
3	97	1
3	98	5
4	5	6
4	7	6
4	9	7
4	10	4
4	11	9
4	12	2
4	13	3
4	14	1
4	15	2
4	16	1
4	19	2
4	20	7
4	22	6
4	24	5
4	25	2
4	26	1
4	28	1
4	29	2
4	30	2
4	31	7
